time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.379945969824063e-08,4.6150007246133585e-08,0.00425668340601836,5.24655202207569e-05,1.6552354201060382e-05,0.0,-1.3616670334214446e-06,4.436551621241917e-06,0.141881625543876,0.0025684478118077605,0.0008220361827538192,0.0,450.1360672312021,450.2025661283773,449.71130219847004,449.91924211286096
0.12000000000000001,-6.1081069756339e-07,2.168511061509066e-06,0.01703439937771899,0.0002937524422934601,6.283184452879918,0.0,-2.0372215929744104e-05,8.786770925916365e-05,0.284016864877438,0.006779815462930635,-0.002612930585323514,0.0,450.36831221072754,450.0904547374797,449.80997520311564,450.15075929411483
0.18,-1.1348753392621816e-06,1.553680380705387e-05,0.0383155291130348,0.0007175414571882754,6.282967133951022,0.0,2.303946614625493e-05,0.00040263614155047257,0.4253114593924355,0.007623899466946382,-0.005720695760705054,0.0,450.1519153266305,449.9004733298115,449.7732875996373,449.8415219424913
0.23999999999999996,6.478445990994694e-06,5.7277388035169433e-05,0.06806526685150821,0.0012012130132239562,6.282527943668363,0.0,0.00027277583625564346,0.0010395390943335981,0.5662865480006379,0.008921760242664414,-0.010727079094091343,0.0,450.26209042870454,449.85706067938355,449.7379794111912,449.8429538963747
0.3,3.986073398438534e-05,0.00014831711001271971,0.10625654390422826,0.0019509166841213954,6.281842530473611,0.0,0.0009116260660558108,0.0020652814070330795,0.7066790547312871,0.01882437634053031,-0.012854194199753626,0.0,450.05798944819486,449.885942781668,449.4028725158196,450.2045883070502
0.36000000000000004,0.00012701989982808704,0.00031956015775601006,0.15285695953355216,0.0031987020002191002,6.281082830442019,0.0,0.002076141033274905,0.0037711693948330235,0.8465740969048929,0.02447416725607031,-0.012279374315043376,0.0,449.99440437812166,450.0410488344183,449.57844645172185,450.0359036609348
0.4200000000000001,0.00030039085096790984,0.0006216768958403325,0.2078255853820159,0.004750812739242605,6.280430687865225,0.0,0.003777343724573056,0.006461930867672585,0.9856027317271951,0.02852039937994055,-0.00818789352482159,0.0,449.71170959923495,450.0430799376917,449.67574291822683,450.00347341578856
0.48000000000000015,0.000589036813914008,0.0011199049228586679,0.2711100392238601,0.006469119933851353,6.279992837643832,0.0,0.005893778389165512,0.01032962157387604,1.1237520081413988,0.028873484034641114,-0.005573628586004961,0.0,449.7807227023897,449.9924832093084,449.7687760459978,449.79758749523444
0.5400000000000001,0.0010135652635465198,0.0018876069548837318,0.3426602811230056,0.008224835659421004,6.279646179797174,0.0,0.00829332185586365,0.015447028253216557,1.2611128855478517,0.03002758965291957,-0.006188805978074075,0.0,449.98532973574567,449.93563211104555,449.7386251969125,449.8323261797598
0.6000000000000002,0.0015896696285143909,0.003000524102618424,0.4224087572522954,0.010068853640420095,6.279169017725035,0.0,0.010954840343005652,0.02184450952939981,1.3970113000168998,0.03210935451135972,-0.011737101105749367,0.0,449.9759922719524,449.5267802754535,449.63636020264755,449.80526802218975
0.6600000000000003,0.002337067653902717,0.00453763439845103,0.5102851998634728,0.01206113118870178,6.278367774617106,0.0,0.014038162999853141,0.029600792907316452,1.532029400598665,0.03530940058899839,-0.016801607360301778,0.0,449.96251443695604,449.5524849492343,449.73369029647677,449.9932006874774
0.7200000000000003,0.0032877844252940666,0.006583569833274648,0.6062138609822992,0.014268320100515375,6.277352477410625,0.0,0.017759655851810264,0.038826165181656644,1.6654040295492554,0.039587461292158906,-0.017162718496246326,0.0,449.654513046213,449.6253458339047,449.54942163405786,449.8965123737462
0.7800000000000004,0.00448367146920822,0.009231520243754801,0.7101200672143881,0.016739545491156527,6.276381952271105,0.0,0.02220879617542776,0.049694876001321546,1.797932194321039,0.044207622505853715,-0.014270620575525424,0.0,449.7253879965391,449.9596560901007,449.6274605276737,450.00245275980643
0.8400000000000004,0.0059665179473304955,0.01258548198116677,0.8219338554311527,0.01953859627228738,6.275581251244354,0.0,0.027306178821159013,0.06239107485222506,1.9289758693613106,0.051135811018456524,-0.011555298441168971,0.0,449.81160436882294,450.031546754378,449.41800711875254,449.98043037273044
0.9000000000000005,0.007771624119914907,0.016762737037950382,0.9415781953404649,0.02279239619350726,6.2749277102917524,0.0,0.03293391155500422,0.07718320251979852,2.0589355394734534,0.059791755075819165,-0.009598368889775642,0.0,449.92735213466506,450.08587629634064,449.53326798586966,450.23599388782867
0.9600000000000005,0.00992754024577916,0.02189828156986628,1.0689542579081575,0.026605773081503692,6.274316593283411,0.0,0.038990909173372286,0.09438950856499612,2.1866865562812867,0.07018236679537945,-0.011385738131415923,0.0,449.99428860676363,449.8497118223199,449.18443622005196,450.0290974319005
1.0200000000000005,0.012460034834909631,0.028149380369162133,1.2039522571009391,0.030921697230005485,6.2736457043104785,0.0,0.04549501322482125,0.11442513588822023,2.3129849524423736,0.07521829775467082,-0.010776072400973922,0.0,450.04364529795663,450.09311305321444,449.416796448602,449.8286889430768
1.0800000000000005,0.01539675616269065,0.03569522532554565,1.3464919867069038,0.03543334736056014,6.2729346295257855,0.0,0.052464825003676385,0.13757150765856638,2.438062760816034,0.07514589548027722,-0.014093265265664873,0.0,450.485287454907,450.21710909409484,449.7076958313746,449.7061989071904
1.1400000000000006,0.01876700465127017,0.044724153854692396,1.4964691257679221,0.03999674225741945,6.2720485802322905,0.0,0.0599651792131238,0.1638606978045275,2.5608867317991963,0.0778174368464079,-0.016151173387984635,0.0,450.2012735045114,450.0348461216845,449.61663529457206,449.8375036760407
