Local time,Open,High,Low,Close,Volume
31.12.2004 23:00:00.000 GMT+0100,1.62647,1.62647,1.62647,1.62647,0
01.01.2005 23:00:00.000 GMT+0100,1.62647,1.62647,1.62647,1.62647,0
02.01.2005 23:00:00.000 GMT+0100,1.62647,1.63502,1.61505,1.62552,68408
03.01.2005 23:00:00.000 GMT+0100,1.62552,1.62980,1.61801,1.62536,80590
04.01.2005 23:00:00.000 GMT+0100,1.62536,1.63124,1.61645,1.62487,86840
05.01.2005 23:00:00.000 GMT+0100,1.62475,1.63193,1.61263,1.62636,74059
06.01.2005 23:00:00.000 GMT+0100,1.62662,1.63257,1.60540,1.60656,81475
07.01.2005 23:00:00.000 GMT+0100,1.60656,1.60656,1.60656,1.60656,0
08.01.2005 23:00:00.000 GMT+0100,1.60656,1.60656,1.60656,1.60656,0
09.01.2005 23:00:00.000 GMT+0100,1.60656,1.61060,1.59405,1.59894,67265
10.01.2005 23:00:00.000 GMT+0100,1.59870,1.60549,1.59467,1.59775,74270
11.01.2005 23:00:00.000 GMT+0100,1.59763,1.60377,1.58347,1.59285,76298
12.01.2005 23:00:00.000 GMT+0100,1.59273,1.59530,1.58360,1.58903,75103
13.01.2005 23:00:00.000 GMT+0100,1.58939,1.60013,1.58079,1.59330,96534
14.01.2005 23:00:00.000 GMT+0100,1.59330,1.59330,1.59330,1.59330,0
15.01.2005 23:00:00.000 GMT+0100,1.59330,1.59330,1.59330,1.59330,0
16.01.2005 23:00:00.000 GMT+0100,1.59330,1.59598,1.58667,1.59025,39006
17.01.2005 23:00:00.000 GMT+0100,1.59013,1.59902,1.58508,1.59132,59350
18.01.2005 23:00:00.000 GMT+0100,1.59144,1.60113,1.58908,1.59672,73768
19.01.2005 23:00:00.000 GMT+0100,1.59672,1.60115,1.59101,1.59913,83085
20.01.2005 23:00:00.000 GMT+0100,1.59913,1.59957,1.58403,1.59396,79239
21.01.2005 23:00:00.000 GMT+0100,1.59396,1.59396,1.59396,1.59396,0
22.01.2005 23:00:00.000 GMT+0100,1.59396,1.59396,1.59396,1.59396,0
23.01.2005 23:00:00.000 GMT+0100,1.59396,1.60094,1.58843,1.59921,60398
24.01.2005 23:00:00.000 GMT+0100,1.59947,1.61463,1.58998,1.60281,75726
25.01.2005 23:00:00.000 GMT+0100,1.60281,1.61585,1.59956,1.61047,73081
26.01.2005 23:00:00.000 GMT+0100,1.61047,1.61875,1.60682,1.61330,73033
27.01.2005 23:00:00.000 GMT+0100,1.61367,1.62187,1.60809,1.61565,66130
28.01.2005 23:00:00.000 GMT+0100,1.61565,1.61565,1.61565,1.61565,0
29.01.2005 23:00:00.000 GMT+0100,1.61565,1.61565,1.61565,1.61565,0
30.01.2005 23:00:00.000 GMT+0100,1.61565,1.62359,1.60920,1.61542,64838
31.01.2005 23:00:00.000 GMT+0100,1.61555,1.61962,1.60808,1.61223,60672
01.02.2005 23:00:00.000 GMT+0100,1.61223,1.61763,1.60548,1.61236,66275
02.02.2005 23:00:00.000 GMT+0100,1.61262,1.61550,1.60572,1.60955,66155
03.02.2005 23:00:00.000 GMT+0100,1.60955,1.61742,1.60158,1.60760,70634
04.02.2005 23:00:00.000 GMT+0100,1.60760,1.60760,1.60760,1.60760,0
05.02.2005 23:00:00.000 GMT+0100,1.60760,1.60760,1.60760,1.60760,0
06.02.2005 23:00:00.000 GMT+0100,1.60760,1.61283,1.59999,1.60088,72911
07.02.2005 23:00:00.000 GMT+0100,1.60101,1.60441,1.58750,1.59040,61933
08.02.2005 23:00:00.000 GMT+0100,1.59040,1.60143,1.58925,1.59691,62623
09.02.2005 23:00:00.000 GMT+0100,1.59717,1.60489,1.59163,1.59870,71737
10.02.2005 23:00:00.000 GMT+0100,1.59857,1.60047,1.58924,1.59101,49374
11.02.2005 23:00:00.000 GMT+0100,1.59101,1.59101,1.59101,1.59101,0
12.02.2005 23:00:00.000 GMT+0100,1.59101,1.59101,1.59101,1.59101,0
13.02.2005 23:00:00.000 GMT+0100,1.59101,1.60398,1.58952,1.59917,57101
14.02.2005 23:00:00.000 GMT+0100,1.59930,1.60822,1.59492,1.60247,62903
15.02.2005 23:00:00.000 GMT+0100,1.60233,1.61649,1.59712,1.61091,71213
16.02.2005 23:00:00.000 GMT+0100,1.61142,1.61499,1.60264,1.60658,56997
17.02.2005 23:00:00.000 GMT+0100,1.60670,1.61079,1.60059,1.60956,49685
18.02.2005 23:00:00.000 GMT+0100,1.60956,1.60956,1.60956,1.60956,0
19.02.2005 23:00:00.000 GMT+0100,1.60956,1.60956,1.60956,1.60956,0
20.02.2005 23:00:00.000 GMT+0100,1.60956,1.61334,1.60313,1.61102,34741
21.02.2005 23:00:00.000 GMT+0100,1.61078,1.63009,1.60782,1.62370,71803
22.02.2005 23:00:00.000 GMT+0100,1.62371,1.64674,1.62062,1.64487,77563
23.02.2005 23:00:00.000 GMT+0100,1.64500,1.65418,1.63404,1.63432,62840
24.02.2005 23:00:00.000 GMT+0100,1.63432,1.64225,1.63166,1.63921,60111
25.02.2005 23:00:00.000 GMT+0100,1.63921,1.63921,1.63921,1.63921,0
26.02.2005 23:00:00.000 GMT+0100,1.63921,1.63921,1.63921,1.63921,0
27.02.2005 23:00:00.000 GMT+0100,1.63921,1.64183,1.62511,1.63182,60545
28.02.2005 23:00:00.000 GMT+0100,1.63195,1.63978,1.62481,1.63565,494506.1956999999
01.03.2005 23:00:00.000 GMT+0100,1.63560,1.63752,1.62430,1.62723,441594.7042000001
02.03.2005 23:00:00.000 GMT+0100,1.62718,1.63843,1.62429,1.62963,438387.6024000001
03.03.2005 23:00:00.000 GMT+0100,1.62980,1.63388,1.62581,1.62934,489757.8959
04.03.2005 23:00:00.000 GMT+0100,1.62934,1.62934,1.62934,1.62934,0
